,url,address,neighborhood,rent,beds,baths
3793,https://www.renthop.com/listings/west-55th-street/6a/15081910,West 55th Street,"Theater District, Midtown Manhattan, Manhattan","$4,000",2_Bed,1_Bath
3794,https://www.renthop.com/listings/123-downey-street/na/15674848,"123 Downing St, Yonkers, Ny 10...","Downtown Yonkers, Yonkers","$2,100",3_Bed,1_Bath
3795,https://www.renthop.com/listings/47-ann-street/7r/15776875,"47 Ann Street, Apt 7R","Financial District, Downtown Manhattan, Manhattan","$5,995",2_Bed,1_Bath
3796,https://www.renthop.com/listings/101-west-end-avenue/18g/14743477,"101 West End Avenue, Apt 18G","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$5,680",2_Bed,1_Bath
3797,https://www.renthop.com/listings/e-79th-st/6e/15670228,E 79th St.,"Upper East Side, Upper Manhattan, Manhattan","$2,995",2_Bed,1_Bath
3798,https://www.renthop.com/listings/81st-street-between-1st-and-2nd-avenues/2-rw/15776871,81st Street Between 1st and 2n...," Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,350",1_Bed,1_Bath
3799,https://www.renthop.com/listings/365-51st-street/b/15763545,"365 51st Street, Apt B","Sunset Park, South Brooklyn, Brooklyn","$2,395",3_Bed,2_Bath
3800,https://www.renthop.com/listings/365-51st-street/b/15763545,"365 51st Street, Apt B","Sunset Park, South Brooklyn, Brooklyn","$2,395",3_Bed,2_Bath
3801,https://www.renthop.com/listings/west-52nd-st/el2bd29c/15433722,West 52nd St,"Theater District, Midtown Manhattan, Manhattan","$5,895",2_Bed,2_Bath
3802,https://www.renthop.com/listings/west-end-ave/na/14139880,West End Ave,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$7,400",2_Bed,2_Bath
3803,https://www.renthop.com/listings/w-24-st/3g/15759439,W 24 St,"Chelsea, Midtown Manhattan, Manhattan","$4,426",1_Bed,1_Bath
3804,https://www.renthop.com/listings/69th-street-broadway/na/15777556,69th Street & Broadway,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$2,450",Loft,1_Bath
3805,https://www.renthop.com/listings/860-nostrand-ave/10/15741131,"860 Nostrand Ave, Apt 10","Crown Heights, Central Brooklyn, Brooklyn","$3,850",4_Bed,1_Bath
3806,https://www.renthop.com/listings/st-nicholas-place-and-150th/3/15777502,St Nicholas Place and 150th,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan","$2,200",2_Bed,1_Bath
3807,https://www.renthop.com/listings/hudson-street/2/15716848,Hudson Street,"West Village, Downtown Manhattan, Manhattan","$2,450",Studio,1_Bath
3808,https://www.renthop.com/listings/west-27th-street/2f/15666918,West 27th Street,"NoMad, Midtown Manhattan, Manhattan","$4,695",Studio,1_Bath
3809,https://www.renthop.com/listings/christopher-street/10j/15647513,Christopher Street,"West Village, Downtown Manhattan, Manhattan","$5,720",1_Bed,1_Bath
3810,https://www.renthop.com/listings/east-26th-street/b/15692312,East 26th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan","$7,495",2_Bed,3_Bath
3811,https://www.renthop.com/listings/east-57th-street/16a/15772332,East 57th Street,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$7,700",3_Bed,2.5_Bath
3812,https://www.renthop.com/listings/333-w-19th-st/5e/15776627,"333 W 19th St, Apt 5E","Chelsea, Midtown Manhattan, Manhattan","$3,150",1_Bed,1_Bath
3813,https://www.renthop.com/listings/saint-nicholas-avenue/53/15764488,Saint Nicholas Avenue,"Washington Heights, Upper Manhattan, Manhattan","$4,095",4_Bed,2_Bath
3814,https://www.renthop.com/listings/72-maujer-st/1bd/15774036,"72 Maujer St, Apt 1BD","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn","$2,600",1_Bed,1_Bath
3815,https://www.renthop.com/listings/william-street/na/13862080,William Street,"Financial District, Downtown Manhattan, Manhattan","$4,795",1_Bed,1_Bath
3816,https://www.renthop.com/listings/lower-east-side/2r/15744067,Lower East Side,"Lower East Side, Downtown Manhattan, Manhattan","$5,695",3_Bed,2_Bath
3817,https://www.renthop.com/listings/298-suydamn-street2r/2r/15718692,"298 Suydamn Street, Apt #2R","Bushwick, Northern Brooklyn, Brooklyn","$2,850",2_Bed,1_Bath
3818,https://www.renthop.com/listings/greenwich-avenue/9/15736624,Greenwich Avenue,"West Village, Downtown Manhattan, Manhattan","$2,495",Studio,1_Bath
3819,https://www.renthop.com/listings/west-77th-st/28/15136535,West 77th St.,"Upper West Side, Upper Manhattan, Manhattan","$9,220",2_Bed,2_Bath
3820,https://www.renthop.com/listings/200-west-60th-st/na/15776229,200 West 60th St,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$2,950",Studio,1_Bath
3821,https://www.renthop.com/listings/west-98th-street/8-b/15756749,West 98th Street,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$5,000",2_Bed,1_Bath
3822,https://www.renthop.com/listings/76-vermilyea-avenue/52/15730490,"76 Vermilyea Avenue, Apt 52","Inwood, Upper Manhattan, Manhattan","$1,950",2_Bed,1_Bath
3823,https://www.renthop.com/listings/east-58-st/4/10851332,east 58 st ,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$3,300",2_Bed,1_Bath
3824,https://www.renthop.com/listings/454-w-57th-street/3b/15735776,"454 W 57th Street- Solar, Apt ...","Hell's Kitchen, Midtown Manhattan, Manhattan","$3,600",3_Bed,1_Bath
3825,https://www.renthop.com/listings/1424-flatbush-ave/4/14876473,"1424 Flatbush Ave, Apt 4","Flatbush, Central Brooklyn, Brooklyn","$2,195",2_Bed,1_Bath
3826,https://www.renthop.com/listings/murray-hill/1/15732738,Murray Hill,"Murray Hill, Midtown Manhattan, Manhattan","$3,495",2_Bed,1_Bath
3827,https://www.renthop.com/listings/east-21st-street/13m/15666895,East 21st Street,"Gramercy Park, Midtown Manhattan, Manhattan","$5,315",1_Bed,1_Bath
3828,https://www.renthop.com/listings/east-21st-street/13m/15551881,East 21st Street,"Gramercy Park, Midtown Manhattan, Manhattan","$5,315",1_Bed,1_Bath
3829,https://www.renthop.com/listings/96-fifth-avenue/16e/15637602,"96 Fifth Avenue, Apt 16E","Flatiron District, Midtown Manhattan, Manhattan","$4,400",1_Bed,1_Bath
3830,https://www.renthop.com/listings/east-66th-st/604/15546215,East 66th St ,"Upper East Side, Upper Manhattan, Manhattan","$2,895",1_Bed,1_Bath
3831,https://www.renthop.com/listings/187-kent-avenue/703/15661572,"187 Kent Avenue, Apt 703","Williamsburg, Northern Brooklyn, Brooklyn","$6,125",3_Bed,1_Bath
3832,https://www.renthop.com/listings/east-46th-street/3b/15760567,East 46th Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$3,700",1_Bed,1_Bath
3833,https://www.renthop.com/listings/tenth-avenue/32j/15703422,Tenth Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan","$5,155",2_Bed,2_Bath
3834,https://www.renthop.com/listings/east-56th-street/11a/15734813,East 56th Street,"Midtown East, Midtown Manhattan, Manhattan","$4,600",2_Bed,1_Bath
3835,https://www.renthop.com/listings/university-place/2w/15755310,University Place,"Greenwich Village, Downtown Manhattan, Manhattan","$3,295",1_Bed,1_Bath
3836,https://www.renthop.com/listings/wall-street/1104/15685307,Wall Street,"Financial District, Downtown Manhattan, Manhattan","$4,467",2_Bed,1_Bath
3837,https://www.renthop.com/listings/e-93-street/3c/15777482,E 93 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,200",1_Bed,1_Bath
3838,https://www.renthop.com/listings/east-39th-street/na/14567876,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan","$4,500",1_Bed,1_Bath
