,neighborhood,rent,beds,baths
327,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",4295,2,1.0
328,"Inwood, Upper Manhattan, Manhattan",2250,1,1.0
329,"Hell's Kitchen, Midtown Manhattan, Manhattan",2275,1,1.0
330,"Greenwich Village, Downtown Manhattan, Manhattan",3800,0,1.0
331,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2750,1,1.0
332,"Astoria, Northwestern Queens, Queens",2800,2,2.0
333,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3375,2,1.0
334,"Hell's Kitchen, Midtown Manhattan, Manhattan",3190,0,1.0
335,"East Village, Downtown Manhattan, Manhattan",5895,3,2.0
336,"Theater District, Midtown Manhattan, Manhattan",6462,1,1.0
337,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2795,0,1.0
338,"Murray Hill, Midtown Manhattan, Manhattan",3125,0,1.0
339,"Astoria, Northwestern Queens, Queens",2600,2,1.0
340,"West Village, Downtown Manhattan, Manhattan",3895,1,1.0
341,"East Harlem, Upper Manhattan, Manhattan",4895,4,2.0
342,"Astoria, Northwestern Queens, Queens",2500,2,1.0
343,"Hell's Kitchen, Midtown Manhattan, Manhattan",2980,0,1.0
344,"Chelsea, Midtown Manhattan, Manhattan",4029,1,1.0
345,"Flatbush, Central Brooklyn, Brooklyn",2200,3,1.0
346,"Midtown East, Midtown Manhattan, Manhattan",2300,0,1.0
347,"Astoria, Northwestern Queens, Queens",2900,3,2.0
348,"Hell's Kitchen, Midtown Manhattan, Manhattan",3462,0,1.0
349,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",3995,0,1.0
350,"Financial District, Downtown Manhattan, Manhattan",4000,1,1.0
351,"Gramercy Park, Midtown Manhattan, Manhattan",3595,1,1.0
352,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3190,1,1.0
353,"Hell's Kitchen, Midtown Manhattan, Manhattan",2795,1,1.0
354,"Upper East Side, Upper Manhattan, Manhattan",2695,2,1.0
355,"Long Island City, Northwestern Queens, Queens",2800,1,1.0
356,"Murray Hill, Midtown Manhattan, Manhattan",3495,2,1.0
357,"Financial District, Downtown Manhattan, Manhattan",4936,2,1.0
358,"Financial District, Downtown Manhattan, Manhattan",4800,1,1.0
359,"Financial District, Downtown Manhattan, Manhattan",3260,0,1.0
360,"Astoria, Northwestern Queens, Queens",2800,3,1.0
361,"Financial District, Downtown Manhattan, Manhattan",7950,3,1.0
362,"Murray Hill, Midtown Manhattan, Manhattan",3868,0,1.0
363,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4000,2,1.0
364,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",5995,2,2.0
365,"Financial District, Downtown Manhattan, Manhattan",4650,2,1.0
366,"Financial District, Downtown Manhattan, Manhattan",3738,1,1.0
367,"Hell's Kitchen, Midtown Manhattan, Manhattan",7288,2,2.0
368,"Financial District, Downtown Manhattan, Manhattan",3350,0,1.0
369,"Gramercy Park, Midtown Manhattan, Manhattan",4750,2,1.0
370,"Astoria, Northwestern Queens, Queens",2000,1,1.0
371,"Greenwich Village, Downtown Manhattan, Manhattan",3325,1,1.0
372,"Financial District, Downtown Manhattan, Manhattan",3552,1,1.0
373,"Hell's Kitchen, Midtown Manhattan, Manhattan",2695,1,1.0
374,"Long Island City, Northwestern Queens, Queens",3650,2,1.0
375,"Chelsea, Midtown Manhattan, Manhattan",4175,1,1.0
376,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3395,2,1.0
